               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024064,            0.009604,            0.015126,             0.90118,             0.91789,             0.95889,             0.81539,            0.010224,           0.0039508,           0.0049723,             0.00307,             0.00307,             0.00307
                  37,             0.02345,           0.0092947,            0.014999,             0.90607,             0.92523,             0.96502,             0.81798,            0.010322,           0.0038835,             0.00485,            0.002872,            0.002872,            0.002872
                  38,            0.023144,           0.0094537,            0.015071,             0.91565,             0.88983,             0.95781,             0.81433,            0.010136,           0.0039023,           0.0058569,            0.002674,            0.002674,            0.002674
                  39,            0.023083,           0.0092309,            0.013974,             0.88663,             0.92854,             0.96074,             0.81917,            0.010024,           0.0038417,           0.0053685,            0.002476,            0.002476,            0.002476
                  40,            0.022988,           0.0091504,            0.013703,             0.92919,             0.91287,             0.96566,             0.82511,            0.010008,            0.003902,           0.0043628,            0.002278,            0.002278,            0.002278
                  41,            0.021962,           0.0090849,            0.013392,             0.93035,             0.92231,             0.97051,             0.83432,           0.0097364,           0.0036879,           0.0045398,             0.00208,             0.00208,             0.00208
                  42,            0.022083,           0.0088133,            0.012692,             0.94033,             0.93906,             0.97674,              0.8395,           0.0098299,           0.0037027,           0.0040304,            0.001882,            0.001882,            0.001882
                  43,            0.021502,           0.0088537,            0.012497,             0.91868,             0.92775,             0.96988,             0.83716,           0.0096058,           0.0036708,             0.00464,            0.001684,            0.001684,            0.001684
                  44,            0.021881,           0.0087774,            0.012768,             0.91924,             0.92642,             0.97052,             0.84402,           0.0093355,           0.0036528,           0.0045988,            0.001486,            0.001486,            0.001486
                  45,            0.021539,           0.0088646,            0.013511,             0.93944,              0.9158,             0.97588,             0.84729,           0.0094474,           0.0036275,           0.0040731,            0.001288,            0.001288,            0.001288
                  46,            0.020594,            0.008458,            0.012154,             0.93695,             0.92073,             0.97377,             0.85062,           0.0091944,           0.0035887,           0.0040601,             0.00109,             0.00109,             0.00109
                  47,            0.021394,           0.0086722,            0.012747,             0.94369,             0.93083,             0.97905,             0.86108,           0.0090393,           0.0035127,           0.0037709,            0.000892,            0.000892,            0.000892
                  48,            0.020271,           0.0085119,            0.011499,              0.9448,             0.94525,             0.97964,             0.86156,           0.0090026,           0.0035069,           0.0036181,            0.000694,            0.000694,            0.000694
                  49,            0.019831,           0.0083399,            0.010783,             0.94576,             0.94394,             0.97692,             0.86437,           0.0088803,           0.0035186,            0.003694,            0.000496,            0.000496,            0.000496
